language,n_nodes,avg_degree,C_max
galician,4476,7.792,1.0
korean,6371,4.294,1.0
thai,4043,7.909,1.0
icelandic,4837,6.114,1.0
finnish,4953,5.142,1.0
arabic,4785,6.792,1.0
swedish,5006,6.263,1.0
russian,5155,5.987,1.0
portuguese,5109,7.096,1.0
chinese,5446,6.213,1.0
hindi,4420,6.932,1.0
turkish,4831,5.675,1.0
german,5385,6.431,1.0
polish,5033,5.897,1.0
english,4665,7.249,1.0
spanish,4528,7.684,1.0
french,4632,7.852,1.0
indonesian,3726,8.031,1.0
japanese,4906,8.113,1.0
italian,4814,7.508,1.0
czech,5318,5.635,1.0
